Name,Rank,Tuition and fees
Southern Arkansas University Main Campus,NA,NA
Southern Arkansas University Tech,NA,NA
Velvatex College of Beauty Culture,NA,NA
University of Arkansas-Fort Smith,NA,NA
Academy of Art University,NA,NA
Academy of Chinese Culture and Health Sciences,NA,NA
The Academy of Radio and TV Broadcasting,NA,NA
Avalon School of Cosmetology-Alameda,NA,NA
College of Alameda,NA,NA
Allan Hancock College,NA,NA
American Academy of Dramatic Arts-Los Angeles,NA,NA
American Baptist Seminary of the West,NA,NA
American Film Institute Conservatory,NA,NA
American Beauty College,NA,NA
American Career College-Los Angeles,NA,NA
American Conservatory Theater,NA,NA
American River College,NA,NA
Antelope Valley College,NA,NA
Art Center College of Design,NA,NA
Associated Technical College-Los Angeles,NA,NA
Associated Technical College-San Diego,NA,NA
Azusa Pacific University,173,"$36,120 "
Bakersfield College,NA,NA
Barstow Community College,NA,NA
Bellus Academy-National City,NA,NA
Bethesda University,NA,NA
Biola University,154,"$36,696 "
Brownson Technical School,NA,NA
Bryan University,NA,NA
Butte College,NA,NA
Phillips Graduate University,NA,NA
California Institute of Integral Studies,NA,NA
Cabrillo College,NA,NA
California Baptist University,NA,NA
California College of the Arts,NA,NA
University of California-Hastings College of Law,46,"$40,728 "
California Institute of Technology,12,"$47,577 "
California Institute of Technology,35,"$32,404 "
California Lutheran University,NA,NA
California Polytechnic State University-San Luis Obispo,NA,NA
Alliant International University-San Diego,NA,NA
California State University-Bakersfield,NA,NA
California State University-Stanislaus,NA,NA
California State University-San Bernardino,NA,NA
California State Polytechnic University-Pomona,NA,NA
California State University-Chico,NA,NA
California State University-Dominguez Hills,NA,NA
California State University-Fresno,215,"$17,209 "
California State University-Fullerton,196,"$17,596 "
California State University-East Bay,NA,NA
California State University-Long Beach,NA,NA
California State University-Los Angeles,NA,NA
California State University-Northridge,NA,NA
California State University-Sacramento,NA,NA
University of California-Berkeley,22,"$40,191 "
University of California-Berkeley,146,"$39,944 "
University of California-Davis,NA,NA
University of California-Irvine,43,"$39,458 "
University of California-Los Angeles,25,"$39,518 "
University of California-Riverside,115,"$40,263 "
University of California-San Diego,47,"$41,387 "
University of California-San Francisco,NA,NA
University of California-Santa Barbara,38,"$40,704 "
University of California-Santa Cruz,77,"$40,241 "
Sofia University,140,"$21,208 "
California Beauty School,NA,NA
California Christian College,NA,NA
Le Cordon Bleu College of Culinary Arts-San Francisco,NA,NA
California Hair Design Academy,NA,NA
California Institute of the Arts,NA,NA
California State University Maritime Academy,NA,NA
California Western School of Law,NA,NA
Canada College,NA,NA
College of the Canyons,NA,NA
Career Academy of Beauty,NA,NA
Casa Loma College-Van Nuys,NA,NA
CET-San Diego,NA,NA
CET-San Jose,NA,NA
CET-El Centro,NA,NA
CET-Colton,NA,NA
CET-Watsonville,NA,NA
CET-Salinas,NA,NA
Cerritos College,NA,NA
Cerro Coso Community College,NA,NA
Chabot College,NA,NA
Chaffey College,NA,NA
Chapman University,NA,NA
Charles R Drew University of Medicine and Science,NA,NA
Concordia University-Irvine,NA,NA
San Diego Christian College,NA,NA
Church Divinity School of the Pacific,NA,NA
Citrus College,NA,NA
Citrus Heights Beauty College,NA,NA
City College of San Francisco,NA,NA
Claremont Graduate University,NA,NA
Claremont McKenna College,NA,NA
Milan Institute-Visalia,NA,NA
Clovis Adult Education,NA,NA
Coastline Community College,NA,NA
Cogswell College,NA,NA
Coleman University,NA,NA
Coba Academy,NA,NA
Western University of Health Sciences,NA,NA
Columbia College,NA,NA
Columbia College Hollywood,NA,NA
El Camino College-Compton Center,NA,NA
Contra Costa College,NA,NA
Cosumnes River College,NA,NA
Crafton Hills College,NA,NA
Cuesta College,NA,NA
Cuyamaca College,NA,NA
Cypress College,NA,NA
De Anza College,NA,NA
International School of Beauty Inc,NA,NA
Dell'Arte International School of Physical Theatre,NA,NA
College of the Desert,NA,NA
Design Institute of San Diego,NA,NA
Diablo Valley College,NA,NA
Dominican University of California,NA,NA
Dominican School of Philosophy & Theology,NA,NA
East Los Angeles College,NA,NA
El Camino Community College District,NA,NA
Elegance International,NA,NA
Emperor's College of Traditional Oriental Medicine,NA,NA
Empire College,NA,NA
Evergreen Valley College,NA,NA
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,NA,NA
FIDM-Fashion Institute of Design & Merchandising-San Francisco,NA,NA
FIDM-Fashion Institute of Design & Merchandising-Orange County,NA,NA
Feather River Community College District,NA,NA
Federico Beauty Institute,NA,NA
Fielding Graduate University,NA,NA
Five Branches University,NA,NA
Hair California Beauty Academy,NA,NA
Redondo Beach Beauty College,NA,NA
Foothill College,NA,NA
Franciscan School of Theology,NA,NA
Fredrick and Charles Beauty College,NA,NA
Fresno City College,NA,NA
Fresno Pacific University,NA,NA
Fuller Theological Seminary,NA,NA
Fullerton College,NA,NA
Gavilan College,NA,NA
Gemological Institute of America-Carlsbad,NA,NA
Glendale Community College,NA,NA
Glendale Career College,NA,NA
Golden Gate University-San Francisco,NA,NA
Golden West College,NA,NA
Graduate Theological Union,NA,NA
Grossmont College,NA,NA
Salon Success Academy-Riverside,NA,NA
Hartnell College,NA,NA
Harvey Mudd College,NA,NA
Hilltop Beauty School,NA,NA
Holy Names University,NA,NA
Pacifica Graduate Institute,NA,NA
Humboldt State University,NA,NA
Humphreys University-Stockton and Modesto Campuses,NA,NA
Imperial Valley College,NA,NA
Institute for Business and Technology,NA,NA
Interior Designers Institute,NA,NA
Toni & Guy Hairdressing Academy-Santa Monica,NA,NA
Irvine Valley College,NA,NA
Bellus Academy-El Cajon,NA,NA
John F. Kennedy University,NA,NA
American Jewish University,NA,NA
Reedley College,NA,NA
Life Pacific College,NA,NA
Argosy University-The Art Institute of California-San Diego,NA,NA
University of La Verne,144,"$39,900 "
Laguna College of Art and Design,NA,NA
Lake Tahoe Community College,NA,NA
Lancaster Beauty School,NA,NA
Laney College,NA,NA
Lassen Community College,NA,NA
Life Chiropractic College West,NA,NA
Lincoln University,NA,NA
Southern California Seminary,NA,NA
La Sierra University,NA,NA
Loma Linda University,NA,NA
Long Beach City College,NA,NA
Southern California University of Health Sciences,NA,NA
Los Angeles Harbor College,NA,NA
Los Angeles Pierce College,NA,NA
Los Angeles Southwest College,NA,NA
Los Angeles Trade Technical College,NA,NA
Los Angeles Valley College,NA,NA
The Master's University and Seminary,NA,NA
Los Angeles City College,NA,NA
Los Angeles County College of Nursing and Allied Health,NA,NA
Los Angeles Mission College,NA,NA
Los Medanos College,NA,NA
Argosy University-The Art Institute of California-San Francisco,NA,NA
Loyola Marymount University,NA,NA
Lu Ross Academy,NA,NA
Lyle's College of  Beauty,NA,NA
Lytles Redwood Empire Beauty College Inc,NA,NA
MTI Business College Inc,NA,NA
MTI College,NA,NA
Brightwood College-Sacramento,NA,NA
Brightwood College-San Diego,NA,NA
Brightwood College-Vista,NA,NA
College of Marin,NA,NA
Marymount California University,NA,NA
Mendocino College,NA,NA
Menlo College,NA,NA
Merced College,NA,NA
Merritt College,NA,NA
Mills College,NA,NA
MiraCosta College,NA,NA
Mission College,NA,NA
Modern Beauty Academy,NA,NA
Brightwood College-Los Angeles-Van Nuys,NA,NA
Modesto Junior College,NA,NA
Moler Barber College,NA,NA
Middlebury Institute of International Studies at Monterey,NA,NA
Monterey Peninsula College,NA,NA
Moorpark College,NA,NA
Mt San Antonio College,NA,NA
Mount Saint Mary's University,NA,NA
Mt San Jacinto Community College District,NA,NA
Musicians Institute,NA,NA
Napa Valley College,NA,NA
National Holistic Institute,NA,NA
National University,NA,NA
Newschool of Architecture and Design,NA,NA
Newberry School of Beauty,NA,NA
North Adrian's College of Beauty Inc,NA,NA
North-West College-Pomona,NA,NA
North-West College-West Covina,NA,NA
North-West College-Pasadena,NA,NA
Notre Dame de Namur University,NA,NA
Occidental College,NA,NA
Oceanside College of Beauty,NA,NA
Ohlone College,NA,NA
Orange Coast College,NA,NA
Otis College of Art and Design,NA,NA
Oxnard College,NA,NA
Hope International University,NA,NA
Concorde Career College-San Diego,NA,NA
Palo Alto University,NA,NA
Pacific Oaks College,NA,NA
Pacific School of Religion,NA,NA
Pacific States University,NA,NA
Pacific Union College,NA,NA
University of the Pacific,106,"$44,588 "
Palo Verde College,NA,NA
Palomar College,NA,NA
Pasadena City College,NA,NA
Pepperdine University,50,"$50,022 "
Pitzer College,NA,NA
Platt College-San Diego,NA,NA
Point Loma Nazarene University,NA,NA
Pomona College,NA,NA
Porterville College,NA,NA
Professional Institute of Beauty,NA,NA
Santa Ana College,NA,NA
Pardee RAND Graduate School,NA,NA
Shasta School of Cosmetology,NA,NA
University of Redlands,NA,NA
College of the Redwoods,NA,NA
Salon Success Academy-Upland,NA,NA
Salon Success Academy-Corona,NA,NA
Rio Hondo College,NA,NA
Riverside City College,NA,NA
Argosy University-San Francisco Bay Area,NA,NA
Rosemead Beauty School,NA,NA
Dongguk University-Los Angeles,NA,NA
Sacramento City College,NA,NA
Saddleback College,NA,NA
Samuel Merritt University,NA,NA
San Diego City College,NA,NA
Golf Academy of America-San Diego,NA,NA
San Diego Mesa College,NA,NA
San Diego Miramar College,NA,NA
San Diego State University,139,"$18,244 "
University of San Diego,84,"$46,140 "
San Francisco Art Institute,NA,NA
San Francisco Conservatory of Music,NA,NA
San Francisco State University,NA,NA
San Francisco Theological Seminary,NA,NA
University of San Francisco,101,"$44,494 "
San Joaquin College of Law,NA,NA
San Joaquin Delta College,NA,NA
San Joaquin Valley College-Visalia,NA,NA
William Jessup University,NA,NA
San Jose City College,NA,NA
San Jose State University,NA,NA
College of San Mateo,NA,NA
Santa Barbara Business College-Bakersfield,NA,NA
Santa Barbara Business College-Santa Maria,NA,NA
Santa Barbara City College,NA,NA
Santa Clara University,NA,NA
Santa Monica College,NA,NA
Santa Rosa Junior College,NA,NA
Saybrook University,NA,NA
Scripps College,NA,NA
College of the Sequoias,NA,NA
Shasta Bible College and Graduate School,NA,NA
Shasta College,NA,NA
Sierra College,NA,NA
Sierra College of Beauty,NA,NA
Trinity Law School,NA,NA
Simpson University,NA,NA
College of the Siskiyous,NA,NA
Charles A Jones Career and Education Center,NA,NA
Skyline College,NA,NA
San Bernardino Valley College,NA,NA
Saint Mary's College of California,NA,NA
Solano Community College,NA,NA
Sonoma State University,NA,NA
South Baylo University,NA,NA
South Coast College,NA,NA
Vanguard University of Southern California,NA,NA
Concorde Career College-Garden Grove,NA,NA
Southwestern College,NA,NA
Starr King School for the Ministry,NA,NA
Marshall B Ketchum University,NA,NA
Southern California Institute of Architecture,NA,NA
University of Southern California,23,"$52,217 "
Southwestern Law School,NA,NA
Taft College,NA,NA
Claremont School of Theology,NA,NA
Thomas Aquinas College,NA,NA
Epic Bible College,NA,NA
United Education Institute-Huntington Park Campus,NA,NA
Concorde Career College-San Bernardino,NA,NA
Universal College of Beauty Inc-Los Angeles 1,NA,NA
Concorde Career College-North Hollywood,NA,NA
Ventura College,NA,NA
The Santa Barbara and Ventura Colleges of Law at Ventura,NA,NA
Victor Valley College,NA,NA
Berkeley City College,NA,NA
Walden University,NA,NA
Waynes College of Beauty,NA,NA
West Hills College-Coalinga,NA,NA
West Los Angeles College,NA,NA
West Valley College,NA,NA
Carrington College-Sacramento,NA,NA
Westminster Theological Seminary in California,NA,NA
Westmont College,NA,NA
Whittier College,NA,NA
Woodbury University,NA,NA
The Wright Institute,NA,NA
