"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"1","Alabama A & M University","Normal","AL","35762","www.aamu.edu/","34.783368","-86.568502","0.8738",1,"12","849",22667,"1","1","1","1","1","1","1","1","1","1","2","0"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","www.uab.edu","33.505697","-86.799345","0.5814",1,"12","1125",22684,"0","0","0","1","1","1","1","1","1","1","2","1"
"3","Amridge University","Montgomery","AL","36117-3553","www.amridgeuniversity.edu","32.362609","-86.17401","NULL",2,"12","NULL",13380,"0","0","0","0","0","0","0","0","0","0","2","0"
"4","University of Alabama in Huntsville","Huntsville","AL","35899","www.uah.edu","34.724557","-86.640449","0.7628",1,"12","1257",22059,"0","0","0","1","1","1","1","1","1","1","1","1"
"5","Alabama State University","Montgomery","AL","36104-0271","www.alasu.edu","32.364317","-86.295677","0.459",1,"12","825",19242,"0","0","0","1","1","1","1","1","2","1","1","1"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","www.ua.edu/","33.211875","-87.545978","0.5259",1,"13","1202",28422,"0","1","0","1","1","2","1","1","1","1","2","1"
"7","Central Alabama Community College","Alexander City","AL","35010","www.cacc.edu","32.92478","-85.945266","NULL",1,"32","NULL",13868,"0","0","0","0","0","0","0","0","0","0","0","0"
"8","Athens State University","Athens","AL","35611","www.athens.edu","34.806793","-86.964698","NULL",1,"31","NULL",NA,"0","0","0","2","2","0","1","1","1","1","2","1"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","www.aum.edu","32.36736","-86.177544","0.7659",1,"12","1009",19255,"0","1","0","1","1","0","1","1","1","1","1","1"
"10","Auburn University","Auburn","AL","36849","www.auburn.edu","32.599378","-85.488258","0.8054",1,"13","1217",29794,"1","1","1","1","1","1","1","1","1","1","1","1"
"11","Birmingham Southern College","Birmingham","AL","35254","www.bsc.edu/","33.513774","-86.850552","0.4839",2,"12","1150",48510,"0","1","0","0","1","1","1","1","1","1","1","1"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","www.cv.edu","32.42391","-85.031485","NULL",1,"41","NULL",6980,"0","0","0","0","0","0","0","0","0","0","0","0"
"13","Concordia College Alabama","Selma","AL","36701","www.ccal.edu/","32.425647","-87.019145","0.2363",2,"32","NULL",27520,"0","0","0","0","1","0","0","0","0","0","1","0"
"14","South University-Montgomery","Montgomery","AL","36116","www.southuniversity.edu/montgomery#location=Montgomery,%20AL","32.342684","-86.216488","NULL",3,"12","NULL",26892,"0","0","0","1","0","0","0","0","1","0","1","0"
"15","Enterprise State Community College","Enterprise","AL","36330-1300","www.escc.edu","31.297496","-85.836956","NULL",1,"32","NULL",8980,"0","0","0","0","0","0","0","0","0","0","0","0"
"16","Coastal Alabama Community College","Bay Minette","AL","36507-2698","www.coastalalabama.edu","30.851343","-87.778193","NULL",1,"32","NULL",12260,"0","0","0","0","0","0","0","0","0","0","0","0"
"17","Faulkner University","Montgomery","AL","36109-3390","www.faulkner.edu","32.384181","-86.21641","0.4538",2,"12","972",30557,"0","0","0","1","1","0","1","1","2","1","2","1"
"18","Gadsden State Community College","Gadsden","AL","35903","www.gadsdenstate.edu","33.994001","-85.991438","NULL",1,"13","NULL",9714,"0","0","0","0","0","0","0","0","0","0","0","0"
"19","New Beginning College of Cosmetology","Albertville","AL","35951","www.nbccosmetology.com","34.27871","-86.196931","NULL",3,"32","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"20","George C Wallace Community College-Dothan","Dothan","AL","36303-9234","www.wallace.edu","31.315274","-85.465836","NULL",1,"13","NULL",9322,"0","0","0","0","0","0","0","0","0","0","0","0"
"21","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000","www.wallacestate.edu","34.072439","-86.781935","NULL",1,"32","NULL",10945,"0","0","0","0","0","0","0","0","0","0","0","0"
"22","George C Wallace State Community College-Selma","Selma","AL","36703-2808","www.wccs.edu","32.445917","-87.013294","NULL",1,"32","NULL",13819,"0","0","0","0","0","0","0","0","0","0","0","0"
"23","Herzing University-Birmingham","Birmingham","AL","35209","www.herzing.edu/","33.468466","-86.832465","0.9747",3,"21","NULL",25945,"0","0","0","2","0","0","0","0","0","0","2","0"
"24","Huntingdon College","Montgomery","AL","36106-2148","www.huntingdon.edu","32.351034","-86.284366","0.5676",2,"12","1001",34207,"0","0","0","0","1","0","1","1","1","1","1","1"
"25","Heritage Christian University","Florence","AL","35630-9977","www.hcu.edu","34.856153","-87.663051","0.3333",2,"13","NULL",19353,"0","0","0","0","0","0","0","0","0","0","0","0"
"26","J. F. Drake State Community and Technical College","Huntsville","AL","35811","www.drakestate.edu","34.771858","-86.572885","NULL",1,"12","NULL",11938,"0","0","0","0","0","0","0","0","0","0","0","0"
"27","J F Ingram State Technical College","Deatsville","AL","36022","www.istc.edu","32.582312","-86.392369","NULL",1,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"28","Jacksonville State University","Jacksonville","AL","36265","www.jsu.edu/","33.822938","-85.765321","0.5308",1,"13","1062",20750,"0","0","0","1","1","0","1","1","1","1","1","1"
"29","Jefferson Davis Community College","Brewton","AL","36426","www.coastalalabama.edu","31.101254","-87.08534","NULL",1,"32","NULL",12093,"0","0","0","0","0","0","0","0","0","0","0","0"
"30","Jefferson State Community College","Birmingham","AL","35215-3098","www.jeffersonstate.edu/","33.652535","-86.707233","NULL",1,"12","NULL",13710,"0","0","0","0","0","0","0","0","0","0","0","0"
"31","John C Calhoun State Community College","Tanner","AL","35671","calhoun.edu/","34.645844","-86.949674","NULL",1,"41","NULL",9765,"0","0","0","0","0","0","0","0","0","0","0","0"
"32","Judson College","Marion","AL","36756","www.judson.edu","32.629253","-87.315206","0.5755",2,"43","1013",30562,"1","0","0","0","2","0","1","1","2","1","2","2"
"33","Lawson State Community College-Birmingham Campus","Birmingham","AL","35221-1717","www.lawsonstate.edu","33.450814","-86.888844","NULL",1,"12","NULL",13630,"0","0","0","0","0","0","0","0","0","0","0","0"
"34","University of West Alabama","Livingston","AL","35470","www.uwa.edu","32.588132","-88.186329","0.531",1,"43","969",18533,"0","0","0","0","2","0","1","1","2","2","2","1"
"35","Lurleen B Wallace Community College","Andalusia","AL","36420-1418","www.lbwcc.edu","31.322947","-86.452262","NULL",1,"41","NULL",13558,"0","0","0","0","0","0","0","0","0","0","0","0"
"36","Marion Military Institute","Marion","AL","36756-3207","www.marionmilitary.edu","32.623734","-87.322041","0.6431",1,"43","1066",17228,"0","0","0","0","0","0","0","0","0","0","0","0"
"37","Miles College","Fairfield","AL","35064-2621","www.miles.edu","33.482442","-86.908751","NULL",2,"21","NULL",22356,"0","1","0","1","1","0","1","1","0","1","1","1"
"38","University of Mobile","Mobile","AL","36613-2842","www.umobile.edu","30.793247","-88.128934","0.6193",2,"41","1029",34482,"0","1","0","1","1","0","1","1","2","1","2","1"
"39","University of Montevallo","Montevallo","AL","35115-6000","www.montevallo.edu","33.10625","-86.865099","0.6542",1,"21","1069",24599,"0","0","0","0","1","0","1","1","1","1","1","1"
"40","Northwest-Shoals Community College","Muscle Shoals","AL","35661","https://www.nwscc.edu","34.739788","-87.678089","NULL",1,"13","NULL",11326,"0","0","0","0","0","0","0","0","0","0","0","0"
"41","University of North Alabama","Florence","AL","35632-0001","www.una.edu","34.806738","-87.681361","0.5574",1,"13","1028",16601,"0","0","0","1","1","0","1","1","1","2","1","2"
"42","Northeast Alabama Community College","Rainsville","AL","35986","https://www.nacc.edu","34.545471","-85.911664","NULL",1,"42","NULL",8290,"0","0","0","0","0","0","0","0","0","0","0","0"
"43","Oakwood University","Huntsville","AL","35896","www.oakwood.edu","34.756344","-86.652705","0.4837",2,"12","886",35585,"0","0","0","1","1","0","1","1","1","1","2","1"
"44","Alabama Southern Community College","Monroeville","AL","36460","www.coastalalabama.edu","31.488925","-87.326352","NULL",1,"41","NULL",10781,"0","0","0","0","0","0","0","0","0","0","0","0"
"45","Prince Institute-Southeast","Elmhurst","IL","60126","princeinstitute.edu","32.383106","-86.162237","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"46","Reid State Technical College","Evergreen","AL","36401","www.rstc.edu","31.460265","-86.964797","NULL",1,"41","NULL",9164,"0","0","0","0","0","0","0","0","0","0","0","0"
"47","Bishop State Community College","Mobile","AL","36603-5898","www.bishop.edu","30.693972","-88.056982","NULL",1,"12","NULL",10179,"0","0","0","0","0","0","0","0","0","0","0","0"
"48","Samford University","Birmingham","AL","35229-2240","www.samford.edu","33.464128","-86.791799","0.9138",2,"21","1170",43666,"0","1","0","1","1","1","1","1","1","1","1","1"
"49","Selma University","Selma","AL","36701","selmauniversity.edu","32.420387","-87.032392","NULL",2,"32","NULL",9641,"0","0","0","0","1","0","1","0","0","0","1","0"
"50","Shelton State Community College","Tuscaloosa","AL","35405-8522","www.sheltonstate.edu","33.120531","-87.56148","NULL",1,"13","NULL",11561,"0","0","0","0","0","0","0","0","0","0","0","0"
"51","Snead State Community College","Boaz","AL","35957-0734","www.snead.edu","34.201495","-86.169897","NULL",1,"32","NULL",11226,"0","0","0","0","0","0","0","0","0","0","0","0"
"52","University of South Alabama","Mobile","AL","36688-0002","www.southalabama.edu","30.696033","-88.178711","0.805",1,"12","1011",19511,"0","0","0","1","2","1","1","1","1","1","1","1"
"53","Spring Hill College","Mobile","AL","36608-1791","www.shc.edu","30.694751","-88.138199","0.4353",2,"12","1121",47815,"0","0","0","0","1","1","1","1","1","1","1","1"
"54","Southeastern Bible College","Birmingham","AL","35244-2083","sebc.edu/","33.378935","-86.749045","1",2,"21","970",20923,"0","0","0","0","0","0","0","0","0","0","0","0"
"55","Stillman College","Tuscaloosa","AL","35401","www.stillman.edu","33.200006","-87.585278","0.4192",2,"13","765",20737,"0","0","0","0","1","0","1","1","1","0","1","1"
"56","Talladega College","Talladega","AL","35160","www.talladega.edu","33.433472","-86.112704","NULL",2,"32","NULL",21601,"0","0","0","2","1","0","1","1","1","1","2","1"
"57","H Councill Trenholm State Community College","Montgomery","AL","36108-3199","www.trenholmstate.edu","32.350109","-86.343057","NULL",1,"12","NULL",11484,"0","0","0","0","0","0","0","0","0","0","0","0"
"58","Troy University","Troy","AL","36082-0001","www.troy.edu","31.800672","-85.957094","0.9125",1,"33","992",18404,"0","1","0","2","1","0","1","1","2","2","2","2"
"59","Tuskegee University","Tuskegee","AL","36088-1920","www.tuskegee.edu","32.4309","-85.708492","0.4999",2,"32","1006",36457,"1","1","1","1","1","1","1","1","1","1","1","1"
"60","United States Sports Academy","Daphne","AL","36526-7055","www.ussa.edu","30.639329","-87.91163","NULL",2,"13","NULL",NA,"0","0","0","0","2","0","0","0","0","0","0","0"
"61","Bevill State Community College","Jasper","AL","35501","www.bscc.edu","33.836929","-87.266406","NULL",1,"32","NULL",12569,"0","0","0","0","0","0","0","0","0","0","0","0"
"62","University of Alaska Anchorage","Anchorage","AK","99508","www.uaa.alaska.edu","61.190163","-149.82619","0.8285",1,"11","NULL",18379,"0","1","0","1","1","1","1","1","1","1","1","1"
"63","Alaska Bible College","Palmer","AK","99645","www.akbible.edu/","61.598553","-149.111972","NULL",2,"32","NULL",17300,"0","0","0","0","0","0","0","0","0","0","0","0"
"64","University of Alaska Fairbanks","Fairbanks","AK","99775-7500","www.uaf.edu","64.85756","-147.823146","0.7347",1,"23","1060",16694,"0","1","0","1","2","1","1","1","1","1","2","1"
"65","University of Alaska Southeast","Juneau","AK","99801-8697","www.uas.alaska.edu","58.384846","-134.638255","0.4896",1,"33","NULL",16364,"0","1","0","0","2","0","1","1","0","2","2","0"
"66","Alaska Pacific University","Anchorage","AK","99508","www.alaskapacific.edu","61.190968","-149.804168","0.5506",2,"11","NULL",30669,"0","1","0","0","1","0","1","0","1","0","2","0"
"67","AVTEC-Alaska's Institute of Technology","Seward","AK","99664-0889","www.avtec.edu/","60.110626","-149.444487","NULL",1,"43","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"68","Charter College","Vancouver","WA","98683-7575","www.chartercollege.edu","45.617798","-122.494766","NULL",3,"12","NULL",31167,"0","0","0","2","0","0","0","0","0","0","2","0"
"69","Alaska Career College","Anchorage","AK","99507-1033","www.alaskacareercollege.edu","61.181443","-149.856954","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"70","Empire Beauty School-Tucson","Tucson","AZ","85716","www.empire.edu","32.235657","-110.927187","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"71","Thunderbird School of Global Management","Glendale","AZ","85306-6000","https://thunderbird.asu.edu/","33.620887","-112.180861","NULL",1,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"72","American Institute of Trucking","Phoenix","AZ","85043-4380","www.ait-schools.com","33.426692","-112.162577","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"73","Carrington College-Phoenix North","Phoenix","AZ","85051-4063","www.carrington.edu","33.561689","-112.116105","0.8451",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"74","Carrington College-Mesa","Mesa","AZ","85210","www.carrington.edu","33.39248","-111.853218","0.4413",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"75","Carrington College-Tucson","Tucson","AZ","85745","www.carrington.edu","32.224391","-110.983056","0.6748",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"76","CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","www.collegeamerica.edu","35.194495","-111.657673","NULL",2,"13","NULL",31236,"0","0","0","1","0","0","0","0","0","0","0","0"
"77","Arizona Academy of Beauty-East","Tucson","AZ","85712","www.arizonaacademy.com","32.237253","-110.872305","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"78","Arizona Automotive Institute","Glendale","AZ","85301-3579","www.aai.edu","33.537249","-112.157344","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"79","Brookline College-Phoenix","Phoenix","AZ","85021","www.brooklinecollege.edu","33.566102","-112.112473","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","2","0"
"80","Arizona State University-Tempe","Tempe","AZ","85287","www.asu.edu/","33.417721","-111.934383","0.825",1,"12","1147",23931,"0","1","1","1","1","1","1","1","1","1","1","1"
"81","Arizona Western College","Yuma","AZ","85365-8834","www.azwestern.edu","32.689306","-114.495968","NULL",1,"13","NULL",14559,"0","0","0","0","0","0","0","0","0","0","0","0"
"82","University of Arizona","Tucson","AZ","85721-0066","www.arizona.edu","32.232672","-110.950815","0.7862",1,"11","NULL",24633,"1","1","2","2","2","1","1","1","2","1","2","2"
"83","Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","www.suva.edu","32.252879","-110.927265","NULL",3,"11","NULL",32254,"0","0","1","0","0","0","0","0","0","0","0","0"
"84","Central Arizona College","Coolidge","AZ","85128-9030","www.centralaz.edu","32.957092","-111.652501","NULL",1,"41","NULL",10290,"0","0","0","0","0","0","0","0","0","0","0","0"
"85","Brown Mackie College-Tucson","Tucson","AZ","85712","www.brownmackie.edu/locations/tucson","32.236736","-110.895086","NULL",3,"11","NULL",NA,"0","0","0","1","0","0","0","0","0","0","1","0"
"86","Charles of Italy Beauty College","Lake Havasu City","AZ","86403","www.charlesofitaly.edu","34.477485","-114.332686","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"87","Cochise County Community College District","Sierra Vista","AZ","85635-2317","https://www.cochise.edu","31.564597","-110.246946","NULL",1,"13","NULL",10165,"0","0","0","0","0","0","0","0","0","0","0","0"
"88","Empire Beauty School-Flagstaff","Flagstaff","AZ","86004","www.empire.edu","35.197151","-111.625936","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"89","Empire Beauty School-Chandler","Chandler","AZ","85224","www.empire.edu","33.347586","-111.860423","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"90","Cortiva Institute-Tucson","Tucson","AZ","85710","www.cortiva.com/","32.21901","-110.856785","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"91","Avalon School of Cosmetology-Mesa","Mesa","AZ","85210","avalon.edu/locations/mesa-az/","33.376583","-111.858305","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"92","Eastern Arizona College","Thatcher","AZ","85552-0769","www.eac.edu","32.843664","-109.76234","NULL",1,"33","NULL",12813,"0","0","0","0","0","0","0","0","0","0","0","0"
"93","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","prescott.erau.edu/","34.616766","-112.449741","0.7634",2,"41","NULL",48992,"0","0","0","0","0","1","0","0","1","1","1","0"
"94","School of Architecture at Taliesin","Scottsdale","AZ","85259","www.taliesin.edu","33.607097","-111.845411","NULL",2,"41","NULL",NA,"0","0","1","0","0","0","0","0","0","0","0","0"
"95","Glendale Community College","Glendale","AZ","85302","www.gccaz.edu","33.570226","-112.190735","NULL",1,"21","NULL",11400,"0","0","0","0","0","0","0","0","0","0","0","0"
"96","Grand Canyon University","Phoenix","AZ","85017","www.gcu.edu","33.513231","-112.129929","0.5694",3,"11","NULL",31156,"0","1","0","2","1","1","1","0","0","2","2","2"
"97","Olympian Academy of Cosmetology","Tempe","AZ","85282-6730","www.internationalacademyofhairdesign.com","33.381388","-111.939931","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"98","GateWay Community College","Phoenix","AZ","85034","www.gatewaycc.edu","33.449686","-111.997077","NULL",1,"11","NULL",12293,"0","0","0","0","0","0","0","0","0","0","0","0"
"99","Mesa Community College","Mesa","AZ","85202","www.mesacc.edu","33.390323","-111.871255","NULL",1,"11","NULL",11943,"0","0","0","0","0","0","0","0","0","0","0","0"
"100","Mohave Community College","Kingman","AZ","86409-1238","https://www.mohave.edu","35.270996","-114.029838","NULL",1,"41","NULL",11449,"0","0","0","0","0","0","0","0","0","0","0","0"
"101","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","85027","www.uti.edu/","33.684428","-112.121336","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"102","Dine College","Tsaile","AZ","86556","www.dinecollege.edu","36.293328","-109.21684","NULL",1,"43","NULL",13499,"0","0","0","0","1","0","1","1","1","0","1","0"
"103","Northern Arizona University","Flagstaff","AZ","86011-4092","https://nau.edu/","35.188449","-111.653724","0.7804",1,"13","NULL",25174,"0","1","0","1","2","2","2","1","2","2","2","1"
"104","Northland Pioneer College","Holbrook","AZ","86025-0610","www.npc.edu","34.93031","-110.142199","NULL",1,"41","NULL",11005,"0","0","0","0","0","0","0","0","0","0","0","0"
"105","Ottawa University-Phoenix","Phoenix","AZ","85021","www.ottawa.edu","33.572173","-112.113001","NULL",2,"11","NULL",NA,"0","0","0","0","2","0","0","2","2","0","2","2"
"106","Phoenix College","Phoenix","AZ","85013","www.phoenixcollege.edu","33.481361","-112.088293","NULL",1,"11","NULL",11775,"0","0","0","0","0","0","0","0","0","0","0","0"
"107","Cortiva Institute-Scottsdale","Scottsdale","AZ","85257","www.cortiva.com/","33.466153","-111.90807","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"108","Pima Community College","Tucson","AZ","85709-1275","www.pima.edu","32.222125","-110.886659","NULL",1,"11","NULL",8727,"0","0","0","0","0","0","0","0","0","0","0","0"
"109","Pima Medical Institute-Tucson","Tucson","AZ","85716","pmi.edu","32.2502","-110.921301","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"110","Pima Medical Institute-Albuquerque","Albuquerque","NM","87110","pmi.edu","35.104855","-106.59488","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"111","Prescott College","Prescott","AZ","86301","www.prescott.edu","34.5452","-112.477185","0.6847",2,"13","1089",39865,"2","2","2","0","2","0","2","0","2","2","2","0"
"112","Refrigeration School Inc","Phoenix","AZ","85034-1816","https://www.refrigerationschool.com","33.448692","-111.989357","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"113","Rio Salado College","Tempe","AZ","85281","www.rio.maricopa.edu","33.413309","-111.97417","NULL",1,"12","NULL",10678,"0","0","0","0","0","0","0","0","0","0","0","0"
"114","Roberto-Venn School of Luthiery","Phoenix","AZ","85007","www.roberto-venn.com","33.45489","-112.086161","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"115","Hair Academy of Safford","Safford","AZ","85546","hairacademysafford.com","32.835363","-109.726795","NULL",3,"41","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"116","Scottsdale Community College","Scottsdale","AZ","85256","www.scottsdalecc.edu","33.51135","-111.885186","NULL",1,"41","NULL",12375,"0","0","0","0","0","0","0","0","0","0","0","0"
"117","South Mountain Community College","Phoenix","AZ","85042","www.southmountaincc.edu","33.382406","-112.032635","NULL",1,"11","NULL",11801,"0","0","0","0","0","0","0","0","0","0","0","0"
"118","Arizona Christian University","Phoenix","AZ","85032-7097","www.arizonachristian.edu","33.595117","-112.026211","0.5916",2,"11","963",36297,"0","0","0","0","1","0","1","0","1","1","1","0"
"119","Tucson College","Tucson","AZ","85711","www.tucsoncollege.edu","32.222353","-110.882243","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"120","Universal Technical Institute of Arizona Inc","Avondale","AZ","85323","www.uti.edu","33.453005","-112.288123","NULL",3,"22","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"121","Western International University","Tempe","AZ","85282","www.west.edu","33.403294","-111.964527","NULL",3,"12","NULL",17736,"0","0","0","2","0","0","0","0","0","2","2","0"
"122","Empire Beauty School-NW Phoenix","Phoenix","AZ","85051","www.empire.edu","33.538093","-112.118168","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"123","Yavapai College","Prescott","AZ","86301","www.YC.EDU","34.547495","-112.453395","NULL",1,"13","NULL",11141,"0","0","0","0","0","0","0","0","0","0","0","0"
"124","University of Arkansas at Little Rock","Little Rock","AR","72204","ualr.edu/www/","34.723254","-92.339778","0.8983",1,"12","1029",21392,"0","0","0","1","1","1","1","1","1","1","2","1"
"125","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","www.uams.edu","34.749048","-92.320046","NULL",1,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"126","Arkansas Baptist College","Little Rock","AR","72202-6068","www.arkansasbaptist.edu","34.734751","-92.290555","NULL",2,"12","NULL",21857,"0","0","0","0","1","0","0","0","0","0","1","0"
"127","Arkansas Beauty School-Little Rock","Little Rock","AR","72209","arkbeautyschool.com","34.672171","-92.343366","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"128","Arkansas Beauty College","Russellville","AR","72801","www.arkansasbeautycollegersvlar.com/","35.27902","-93.135369","NULL",3,"33","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"129","Lyon College","Batesville","AR","72501","www.lyon.edu","35.777619","-91.625354","0.7417",2,"33","1099",35454,"0","0","0","1","1","0","1","1","1","1","1","1"
"130","Arkansas College of Barbering and Hair Design","North Little Rock","AR","72114","www.arkansascollegeofbarbering.com","34.753843","-92.266429","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"131","Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342","www.arthursbeautycollege.com","35.379955","-94.410967","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"132","University of Arkansas","Fayetteville","AR","72701","www.uark.edu","36.070009","-94.176981","0.632",1,"13","1170",21817,"1","1","1","1","1","1","1","1","1","1","2","1"
"133","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","www.uapb.edu","34.244031","-92.018683","0.4193",1,"13","894",16319,"1","1","0","1","1","0","1","1","1","1","1","0"
"134","Arkansas State University-Beebe","Beebe","AR","72012-1000","www.asub.edu","35.074176","-91.895351","NULL",1,"31","NULL",12633,"0","0","0","0","0","0","0","0","0","0","0","0"
"135","Arkansas State University-Main Campus","Jonesboro","AR","72401","www.astate.edu/","35.842388","-90.679988","0.704",1,"13","1090",20872,"1","2","0","1","1","1","1","1","1","2","2","1"
"136","Arkansas Tech University","Russellville","AR","72801-2222","www.atu.edu","35.293237","-93.13562","0.6391",1,"33","NULL",17731,"1","1","0","1","2","1","1","1","1","1","2","2"
"137","University of Arkansas at Monticello","Monticello","AR","71656","www.uamont.edu/","33.590909","-91.811153","NULL",1,"33","NULL",16881,"1","1","0","0","1","0","1","1","1","1","1","1"
"138","Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076","arthursbeautycollege.com","34.891572","-92.102579","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"139","Baptist Health College-Little Rock","Little Rock","AR","72210-2827","https://www.bhclr.edu","34.713115","-92.40692","0.7826",2,"12","970",22630,"0","0","0","0","0","0","0","0","0","0","0","0"
"140","Black River Technical College","Pocahontas","AR","72455","www.blackrivertech.edu","36.239793","-90.951033","NULL",1,"41","NULL",12104,"0","0","0","0","0","0","0","0","0","0","0","0"
"141","University of Central Arkansas","Conway","AR","72035-0001","www.uca.edu","35.077945","-92.457672","0.8978",1,"13","1082",20052,"0","1","0","1","1","0","1","1","1","1","1","1"
"142","Central Baptist College","Conway","AR","72034","www.cbc.edu","35.083838","-92.445021","0.6195",2,"13","1018",23491,"0","0","0","0","1","0","1","0","2","0","2","1"
"143","Cossatot Community College of the University of Arkansas","De Queen","AR","71832","www.cccua.edu/","34.043389","-94.3673","NULL",1,"41","NULL",10994,"0","0","0","0","0","0","0","0","0","0","0","0"
"144","Crowley's Ridge College","Paragould","AR","72450","www.crc.edu/","36.064845","-90.584395","NULL",2,"41","NULL",19791,"0","0","0","0","1","0","0","0","0","0","1","0"
"145","Crowley's Ridge Technical Institute","Forrest City","AR","72335-0925","www.crti.tec.ar.us","35.039816","-90.767321","NULL",1,"32","NULL",8611,"0","0","0","0","0","0","0","0","0","0","0","0"
"146","East Arkansas Community College","Forrest City","AR","72335-2204","https://WWW.EACC.EDU","35.041655","-90.767726","NULL",1,"32","NULL",10414,"0","0","0","0","0","0","0","0","0","0","0","0"
"147","Eastern College of Health Vocations-Little Rock","Little Rock","AR","72205","www.easterncollege.edu","34.75128","-92.341891","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"148","Imagine-Paul Mitchell Partner School","North Little Rock","AR","72117","paulmitchell.edu/littlerock","34.789913","-92.222202","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"149","National Park College","Hot Springs","AR","71913","www.np.edu","34.512687","-93.119248","NULL",1,"23","NULL",12268,"0","0","0","0","0","0","0","0","0","0","0","0"
"150","University of Arkansas Community College-Batesville","Batesville","AR","72503-3350","www.uaccb.edu","35.792923","-91.615852","NULL",1,"33","NULL",10819,"0","0","0","0","0","0","0","0","0","0","0","0"
"151","Harding University","Searcy","AR","72149-5615","www.harding.edu","35.247337","-91.726041","0.7018",2,"32","1135",27627,"0","0","0","1","2","1","1","1","1","2","2","1"
"152","Henderson State University","Arkadelphia","AR","71999-0001","www.hsu.edu","34.128155","-93.059703","0.6611",1,"32","1030",20112,"0","0","0","1","1","1","1","1","1","1","1","1"
